Event_Date,Over3,Over4,Over5,Over6
1976.0575,0,0,0,0
1976.0603,0,0,0,0
1976.063,0,0,0,0
1976.0658,0,0,0,0
1976.0685,0,0,0,0
1976.0712,0,0,0,0
1976.074,0,0,0,0
1976.0767,0,0,0,0
1976.0795,0,0,0,0
1976.0822,0,0,0,0
1976.0849,0,0,0,0
1976.0877,0,0,0,0
1976.0904,0,0,0,0
1976.0932,0,0,0,0
1976.0959,0,0,0,0
1976.0986,0,0,0,0
1976.1014,0,0,0,0
1976.1041,0,0,0,0
1976.1068,0,0,0,0
1976.1096,0,0,0,0
1976.1123,0,0,0,0
1976.1151,0,0,0,0
1976.1178,0,0,0,0
1976.1205,0,0,0,0
1976.1233,0,0,0,0
1976.126,0,0,0,0
1976.1288,0,0,0,0
1976.1315,0,0,0,0
1976.1342,0,0,0,0
1976.137,0,0,0,0
1976.1397,0,0,0,0
1976.1425,0,0,0,0
1976.1452,0,0,0,0
1976.1479,0,0,0,0
1976.1507,0,0,0,0
1976.1534,0,0,0,0
1976.1562,0,0,0,0
1976.1589,0,0,0,0
1976.1616,0,0,0,0
1976.1644,0,0,0,0
1976.1671,0,0,0,0
1976.1699,0,0,0,0
1976.1726,0,0,0,0
1976.1753,0,0,0,0
1976.1781,0,0,0,0
1976.1808,0,0,0,0
1976.1836,0,0,0,0
1976.1863,0,0,0,0
1976.189,0,0,0,0
1976.1918,0,0,0,0
1976.1945,0,0,0,0
1976.1973,0,0,0,0
1976.2,0,0,0,0
1976.2027,0,0,0,0
1976.2055,0,0,0,0
1976.2082,0,0,0,0
1976.211,0,0,0,0
1976.2137,0,0,0,0
1976.2164,0,0,0,0
1976.2192,0,0,0,0
1976.2219,0,0,0,0
1976.2247,0,0,0,0
1976.2274,0,0,0,0
1976.2301,0,0,0,0
1976.2329,0,0,0,0
1976.2356,0,0,0,0
1976.2384,0,0,0,0
1976.2411,0,0,0,0
1976.2438,0,0,0,0
1976.2466,0,0,0,0
1976.2493,0,0,0,0
1976.2521,0,0,0,0
1976.2548,0,0,0,0
1976.2575,0,0,0,0
1976.2603,0,0,0,0
1976.263,0,0,0,0
1976.2658,0,0,0,0
1976.2685,0,0,0,0
1976.2712,0,0,0,0
1976.274,0,0,0,0
1976.2767,0,0,0,0
1976.2795,0,0,0,0
1976.2822,0,0,0,0
1976.2849,0,0,0,0
1976.2877,0,0,0,0
1976.2904,0,0,0,0
1976.2932,0,0,0,0
1976.2959,0,0,0,0
1976.2986,0,0,0,0
1976.3014,0,0,0,0
1976.3041,0,0,0,0
1976.3068,0,0,0,0
1976.3096,0,0,0,0
1976.3123,0,0,0,0
1976.3151,0,0,0,0
1976.3178,0,0,0,0
1976.3205,0,0,0,0
1976.3233,0,0,0,0
1976.326,0,0,0,0
1976.3288,0,0,0,0
1976.3315,0,0,0,0
1976.3342,0,0,0,0
1976.337,0,0,0,0
1976.3397,0,0,0,0
1976.3425,0,0,0,0
1976.3452,0,0,0,0
1976.3479,0,0,0,0
1976.3507,0,0,0,0
1976.3534,0,0,0,0
1976.3562,0,0,0,0
1976.3589,0,0,0,0
1976.3616,0,0,0,0
1976.3644,0,0,0,0
1976.3671,0,0,0,0
1976.3699,0,0,0,0
1976.3726,0,0,0,0
1976.3753,0,0,0,0
1976.3781,0,0,0,0
1976.3808,0,0,0,0
1976.3836,0,0,0,0
1976.3863,0,0,0,0
1976.389,0,0,0,0
1976.3918,0,0,0,0
1976.3945,0,0,0,0
1976.3973,0,0,0,0
1976.4,0,0,0,0
1976.4027,0,0,0,0
1976.4055,0,0,0,0
1976.4082,0,0,0,0
1976.411,0,0,0,0
1976.4137,0,0,0,0
1976.4164,0,0,0,0
1976.4192,0,0,0,0
1976.4219,0,0,0,0
1976.4247,0,0,0,0
1976.4274,0,0,0,0
1976.4301,0,0,0,0
1976.4329,0,0,0,0
1976.4356,0,0,0,0
1976.4384,0,0,0,0
1976.4411,0,0,0,0
1976.4438,0,0,0,0
1976.4466,0,0,0,0
1976.4493,0,0,0,0
1976.4521,0,0,0,0
1976.4548,0,0,0,0
1976.4575,0,0,0,0
1976.4603,0,0,0,0
1976.463,0,0,0,0
1976.4658,0,0,0,0
1976.4685,0,0,0,0
1976.4712,0,0,0,0
1976.474,0,0,0,0
1976.4767,0,0,0,0
1976.4795,0,0,0,0
1976.4822,0,0,0,0
1976.4849,0,0,0,0
1976.4877,0,0,0,0
1976.4904,0,0,0,0
1976.4932,0,0,0,0
1976.4959,0,0,0,0
1976.4986,0,0,0,0
1976.5014,0,0,0,0
1976.5041,0,0,0,0
1976.5068,0,0,0,0
1976.5096,0,0,0,0
1976.5123,0,0,0,0
1976.5151,0,0,0,0
1976.5178,0,0,0,0
1976.5205,0,0,0,0
1976.5233,0,0,0,0
1976.526,0,0,0,0
1976.5288,0,0,0,0
1976.5315,0,0,0,0
1976.5342,0,0,0,0
1976.537,0,0,0,0
1976.5397,0,0,0,0
1976.5425,0,0,0,0
1976.5452,0,0,0,0
1976.5479,0,0,0,0
1976.5507,0,0,0,0
1976.5534,0,0,0,0
1976.5562,0,0,0,0
1976.5589,0,0,0,0
1976.5616,0,0,0,0
1976.5644,0,0,0,0
1976.5671,0,0,0,0
1976.5699,0,0,0,0
1976.5726,0,0,0,0
1976.5753,0,0,0,0
1976.5781,0,0,0,0
1976.5808,0,0,0,0
1976.5836,0,0,0,0
1976.5863,0,0,0,0
1976.589,0,0,0,0
1976.5918,0,0,0,0
1976.5945,0,0,0,0
1976.5973,0,0,0,0
1976.6,0,0,0,0
1976.6027,0,0,0,0
1976.6055,0,0,0,0
1976.6082,0,0,0,0
1976.611,0,0,0,0
1976.6137,0,0,0,0
1976.6164,0,0,0,0
1976.6192,0,0,0,0
1976.6219,0,0,0,0
1976.6247,0,0,0,0
1976.6274,0,0,0,0
1976.6301,0,0,0,0
1976.6329,0,0,0,0
1976.6356,0,0,0,0
1976.6384,0,0,0,0
1976.6411,0,0,0,0
1976.6438,0,0,0,0
1976.6466,0,0,0,0
1976.6493,0,0,0,0
1976.6521,0,0,0,0
1976.6548,0,0,0,0
1976.6575,0,0,0,0
1976.6603,0,0,0,0
1976.663,0,0,0,0
1976.6658,0,0,0,0
1976.6685,0,0,0,0
1976.6712,0,0,0,0
1976.674,0,0,0,0
1976.6767,0,0,0,0
1976.6795,0,0,0,0
1976.6822,0,0,0,0
1976.6849,0,0,0,0
1976.6877,0,0,0,0
1976.6904,0,0,0,0
1976.6932,0,0,0,0
1976.6959,0,0,0,0
1976.6986,0,0,0,0
1976.7014,0,0,0,0
1976.7041,0,0,0,0
1976.7068,0,0,0,0
1976.7096,0,0,0,0
1976.7123,0,0,0,0
1976.7151,0,0,0,0
1976.7178,0,0,0,0
1976.7205,0,0,0,0
1976.7233,0,0,0,0
1976.726,0,0,0,0
1976.7288,0,0,0,0
1976.7315,0,0,0,0
1976.7342,0,0,0,0
1976.737,0,0,0,0
1976.7397,0,0,0,0
1976.7425,0,0,0,0
